date,Daily Total
2014-10-18,4098
2014-10-19,4259
2014-10-20,4843
2014-10-21,4139
2014-10-22,5146
2014-10-23,5152
2014-10-24,5263
2014-10-25,4675
2014-10-26,4377
2014-10-27,4904
2014-10-28,5103
2014-10-29,4602
2014-10-30,4801
2014-10-31,4244
2014-11-01,4970
2014-11-02,4374
2014-11-03,4709
2014-11-04,4439
2014-11-05,5312
2014-11-06,4405
2014-11-07,4250
2014-11-08,4706
2014-11-09,4158
2014-11-10,5247
2014-11-11,3007
2014-11-12,4670
2014-11-13,4252
2014-11-14,5317
2014-11-15,4678
2014-11-16,3781
2014-11-17,4746
2014-11-18,4996
2014-11-19,4812
2014-11-20,5379
2014-11-21,5567
2014-11-22,3745
2014-11-23,2972
2014-11-24,2863
2014-11-25,4903
2014-11-26,3921
2014-11-27,5037
2014-11-28,4186
2014-11-29,4520
2014-11-30,3940
2014-12-01,4790
2014-12-02,4774
2014-12-03,5298
2014-12-04,5072
2014-12-05,4963
2014-12-06,4208
2014-12-07,4081
2014-12-08,3092
2014-12-09,3462
2014-12-10,3993
2014-12-11,5194
2014-12-12,4703
2014-12-13,4268
2014-12-14,3947
2014-12-15,3776
2014-12-16,3880
2014-12-17,4621
2014-12-18,4914
2014-12-19,5431
2014-12-20,4483
2014-12-21,4263
2014-12-22,3051
2014-12-23,4132
2014-12-24,3618
2014-12-25,4988
2014-12-26,4528
2014-12-27,4186
2014-12-28,4591
2014-12-29,3794
2014-12-30,4146
2014-12-31,4636
2015-01-01,4517
2015-01-02,4086
2015-01-03,2412
2015-01-04,1946
2015-01-05,2764
2015-01-06,2817
2015-01-07,2482
2015-01-08,1920
2015-01-09,2876
2015-01-10,3102
2015-01-11,2718
2015-01-12,3433
2015-01-13,3774
2015-01-14,3843
2015-01-15,4174
2015-01-16,4485
2015-01-17,3706
2015-01-18,3590
2015-01-19,3037
2015-01-20,3931
2015-01-21,3705
2015-01-22,3805
2015-01-23,4371
2015-01-24,3880
2015-01-25,2433
2015-01-26,3995
2015-01-27,4300
2015-01-28,4726
2015-01-29,3867
2015-01-30,5392
2015-01-31,4013
2015-02-01,397
2015-02-02,992
2015-02-03,2116
2015-02-04,1981
2015-02-05,3143
2015-02-06,3742
2015-02-07,3463
2015-02-08,3023
2015-02-09,3178
2015-02-10,3988
2015-02-11,3778
2015-02-12,4315
2015-02-13,4553
2015-02-14,4012
2015-02-15,2925
2015-02-16,3229
2015-02-17,3686
2015-02-18,4148
2015-02-19,3583
2015-02-20,4574
2015-02-21,3784
2015-02-22,4003
2015-02-23,4345
2015-02-24,3942
2015-02-25,3802
2015-02-26,2483
2015-02-27,4171
2015-02-28,3989
2015-03-01,3676
2015-03-02,4576
2015-03-03,2925
2015-03-04,4404
2015-03-05,4457
2015-03-06,4918
2015-03-07,3991
2015-03-08,3480
2015-03-09,4854
2015-03-10,3993
2015-03-11,4557
2015-03-12,4903
2015-03-13,5276
2015-03-14,4146
2015-03-15,3886
2015-03-16,4809
2015-03-17,5097
2015-03-18,4981
2015-03-19,4855
2015-03-20,5390
2015-03-21,4432
2015-03-22,3886
2015-03-23,2480
2015-03-24,4972
2015-03-25,4165
2015-03-26,4611
2015-03-27,5167
2015-03-28,4649
2015-03-29,3619
2015-03-30,5113
2015-03-31,4686
2015-04-01,5657
2015-04-02,3978
2015-04-03,3843
2015-04-04,4559
2015-04-05,4908
2015-04-06,3310
2015-04-07,3048
2015-04-08,3160
2015-04-09,2568
2015-04-10,3917
2015-04-11,4796
2015-04-12,3853
2015-04-13,4759
2015-04-14,5102
2015-04-15,3931
2015-04-16,4663
2015-04-17,5743
2015-04-18,4158
2015-04-19,3374
2015-04-20,4449
2015-04-21,5155
2015-04-22,4472
2015-04-23,5559
2015-04-24,5416
2015-04-25,3828
2015-04-26,4521
2015-04-27,5406
2015-04-28,5651
2015-04-29,5493
2015-04-30,5408
2015-05-01,6309
2015-05-02,4813
2015-05-03,4013
2015-05-04,5293
2015-05-05,4314
2015-05-06,5250
2015-05-07,6086
2015-05-08,5561
2015-05-09,4484
2015-05-10,4554
2015-05-11,4451
2015-05-12,5274
2015-05-13,5758
2015-05-14,5447
2015-05-15,6081
2015-05-16,5004
2015-05-17,4545
2015-05-18,5754
2015-05-19,4935
2015-05-20,4821
2015-05-21,6070
2015-05-22,5993
2015-05-23,5266
2015-05-24,3935
2015-05-25,4174
2015-05-26,4594
2015-05-27,5571
2015-05-28,5579
2015-05-29,5566
2015-05-30,3261
2015-05-31,4127
2015-06-01,5206
2015-06-02,5445
2015-06-03,5843
2015-06-04,5436
2015-06-05,5321
2015-06-06,5343
2015-06-07,4076
2015-06-08,5544
2015-06-09,5589
2015-06-10,5655
2015-06-11,5101
2015-06-12,4278
2015-06-13,4917
2015-06-14,4235
2015-06-15,4237
2015-06-16,5980
2015-06-17,4538
2015-06-18,5255
2015-06-19,6300
2015-06-20,4703
2015-06-21,5126
2015-06-22,3473
2015-06-23,4195
2015-06-24,3789
2015-06-25,3819
2015-06-26,3467
2015-06-27,5135
2015-06-28,4331
2015-06-29,4192
2015-06-30,4460
2015-07-01,4502
2015-07-02,5159
2015-07-03,5294
2015-07-04,5172
2015-07-05,4538
2015-07-06,4624
2015-07-07,4683
2015-07-08,4377
2015-07-09,4741
2015-07-10,5194
2015-07-11,4535
2015-07-12,4555
2015-07-13,4247
2015-07-14,4666
2015-07-15,4784
2015-07-16,3994
2015-07-17,5675
2015-07-18,4820
2015-07-19,4702
2015-07-20,4366
2015-07-21,4638
2015-07-22,4604
2015-07-23,4833
2015-07-24,5154
2015-07-25,5033
2015-07-26,4368
2015-07-27,4549
2015-07-28,4598
2015-07-29,4411
2015-07-30,4610
2015-07-31,4803
2015-08-01,4742
2015-08-02,4680
2015-08-03,4127
2015-08-04,3933
2015-08-05,4100
2015-08-06,4319
2015-08-07,4445
2015-08-08,4775
2015-08-09,4172
2015-08-10,3496
2015-08-11,3894
2015-08-12,3876
2015-08-13,4198
2015-08-14,4207
2015-08-15,4942
2015-08-16,4955
2015-08-17,3693
2015-08-18,3372
2015-08-19,3798
2015-08-20,4293
2015-08-21,4599
2015-08-22,4924
2015-08-23,4373
2015-08-24,3999
2015-08-25,3717
2015-08-26,3667
2015-08-27,4091
2015-08-28,4225
2015-08-29,3577
2015-08-30,4391
2015-08-31,3760
2015-09-01,4034
2015-09-02,4127
2015-09-03,4229
2015-09-04,4389
2015-09-05,4308
2015-09-06,4826
2015-09-07,4149
2015-09-08,3982
2015-09-09,5367
2015-09-10,4903
2015-09-11,4655
2015-09-12,4295
2015-09-13,4551
2015-09-14,5514
2015-09-15,5559
2015-09-16,5835
2015-09-17,5322
2015-09-18,4704
2015-09-19,4572
2015-09-20,4458
2015-09-21,5568
2015-09-22,5480
2015-09-23,5453
2015-09-24,5740
2015-09-25,6040
2015-09-26,4799
2015-09-27,4160
2015-09-28,5170
2015-09-29,4169
2015-09-30,5469
2015-10-01,5570
2015-10-02,5935
2015-10-03,4401
2015-10-04,4249
2015-10-05,4806
2015-10-06,5169
2015-10-07,5578
2015-10-08,5464
