address,Total,First Ticket Date,Last Ticket Date,Days,Daily Avg
1600 N HALSTED STREET,5465,3/1/2014,4/27/2018,1519,3.597761685
1600 N HOMAN AVENUE,2088,3/1/2014,4/27/2018,1519,1.374588545
1600 N KOSTNER,1314,4/1/2014,4/27/2018,1488,0.883064516
1600 N PULASKI AVENUE,1783,3/2/2014,4/27/2018,1518,1.174571805
1600 N WESTERN AVE,6576,3/1/2014,4/27/2018,1519,4.329163924
1600 W 63RD STREET,579,3/1/2014,3/5/2015,370,1.564864865
1600 W 71ST,5058,3/1/2014,4/27/2018,1519,3.329822251
1600 W 87TH ST,7314,3/1/2014,4/27/2018,1519,4.815009875
1600 W 95TH STREET,6109,3/1/2014,4/27/2018,1519,4.021724819
1600 W CORTLAND ST,6012,3/3/2014,4/27/2018,1517,3.963085036
1600 W DIVERSEY PARKWA,1229,3/1/2014,3/5/2015,370,3.321621622
1600 W DIVISION STREET,3388,3/1/2014,4/27/2018,1519,2.230414747
1600 W GARFIELD BLVD,1542,3/1/2014,3/4/2015,369,4.178861789
1600 W IRVING PARK ROA,2883,3/6/2014,4/27/2018,1514,1.904227213
1600 W LAWRENCE AVENUE,5426,3/17/2014,4/27/2018,1503,3.610113107
1600 W MADISON,5014,3/1/2014,4/27/2018,1519,3.300855826
1635 N ASHLAND AVE,17813,4/21/2014,4/27/2018,1468,12.13419619
1638 N ASHLAND AVE,7452,4/21/2014,4/27/2018,1468,5.076294278
1754 N PULASKI RD,6589,12/23/2015,4/27/2018,857,7.688448075
18 W SUPERIOR ST,241,5/12/2014,4/12/2018,1432,0.168296089
19 W CHICAGO AVE,1933,9/2/2014,4/27/2018,1334,1.449025487
1900 N ASHLAND AVE,25669,3/1/2014,4/27/2018,1519,16.89861751
1901 E 75TH ST,28995,6/15/2014,4/27/2018,1413,20.52016985
200 N UPPER WACKER DR,958,3/5/2018,4/27/2018,54,17.74074074
200 W GARFIELD BLVD,15757,3/7/2014,4/27/2018,1513,10.41440846
2000 E 79TH STREET,625,3/1/2014,3/5/2015,370,1.689189189
2000 E 95TH ST,1885,3/3/2014,4/27/2018,1517,1.242584047
2000 N CICERO AVENUE,3537,3/2/2014,4/27/2018,1518,2.330039526
2000 N KEDZIE AVENUE,7231,3/3/2014,4/27/2018,1517,4.766644693
2000 N WESTERN AVENUE,840,3/1/2014,3/5/2015,370,2.27027027
2000 W DIVERSEY PARKWAY,4768,3/8/2014,4/27/2018,1512,3.153439153
2000 W DIVISION,16547,3/1/2014,4/27/2018,1519,10.89335089
2000 W FULLERTON AVE,9624,3/1/2014,4/24/2018,1516,6.34828496
2080 W PERSHING,19432,3/1/2014,4/27/2018,1519,12.79262673
2108 S WESTERN AVE,3537,6/9/2014,4/27/2018,1419,2.492600423
2109 E 87TH ST,16041,11/3/2014,4/27/2018,1272,12.61084906
2115 S WESTERN AVE,5994,6/9/2014,4/27/2018,1419,4.22410148
215 E 63RD ST,44216,11/10/2014,4/27/2018,1265,34.95335968
2200 S PULASKI,5372,3/1/2014,4/27/2018,1519,3.536537196
2200 S WESTERN AVENUE,6727,3/1/2014,4/27/2018,1519,4.428571429
2326 W CERMAK RD,1019,4/21/2014,4/27/2018,1468,0.694141689
2329 W DIVISION ST,6297,4/9/2014,4/27/2018,1480,4.25472973
2335 W CERMAK RD,2260,4/21/2014,4/27/2018,1468,1.539509537
2348 S KOSTNER AVENUE,6272,3/1/2014,4/27/2018,1519,4.129032258
2400 N ASHLAND AVENUE,24267,3/1/2014,4/27/2018,1519,15.97564187
2400 N CENTRAL AVENUE,1228,3/1/2014,4/27/2018,1519,0.808426596
2400 N CICERO AVE,4505,3/7/2014,4/27/2018,1513,2.97752809
2400 N CLARK ST,4421,3/1/2014,4/27/2018,1519,2.910467413
2400 N DAMEN AVE,437,3/1/2014,5/27/2015,453,0.964679912
2400 N HALSTED STREET,3295,3/12/2014,4/26/2018,1507,2.186463172
2400 N LARAMIE AVENUE,1048,3/6/2014,4/26/2018,1513,0.692663582
2400 N PULASKI RD,1586,3/1/2014,4/27/2018,1519,1.044107966
2400 N WESTERN AVENUE,14461,3/1/2014,4/27/2018,1519,9.520078999
2400 W 51ST ST,254,3/1/2014,3/5/2015,370,0.686486486
2400 W 55TH STREET,7314,3/1/2014,4/27/2018,1519,4.815009875
2400 W 63RD ST,1833,3/1/2014,4/27/2018,1519,1.206714944
2400 W 71ST STREET,1192,3/3/2014,5/31/2017,1186,1.005059022
2400 W 79TH ST,1045,4/17/2014,4/27/2018,1472,0.709918478
2400 W ADDISON,2624,3/1/2014,4/27/2018,1519,1.727452271
2400 W CERMAK ROAD,2105,3/1/2014,4/26/2018,1518,1.386693017
2400 W CHICAGO AVE,2975,3/1/2014,4/27/2018,1519,1.958525346
2400 W DIVERSEY AVENUE,1167,3/3/2014,4/27/2018,1517,0.769281477
2400 W FOSTER AVE,7685,3/29/2014,4/27/2018,1491,5.154258887
2400 W LAWRENCE AVENUE,3882,3/1/2014,4/27/2018,1519,2.555628703
2400 W MADISON,2684,3/1/2014,4/25/2018,1517,1.769281477
2400 W MARQUETTE ROAD,3980,3/1/2014,4/27/2018,1519,2.620144832
2400 W MONTROSE AVENUE,1726,3/15/2014,4/26/2018,1504,1.147606383
2400 W NORTH AVE,3095,3/1/2014,4/27/2018,1519,2.037524687
2400 W PERSHING ROAD,4577,3/1/2014,5/31/2017,1188,3.852693603
2400 W PETERSON,9284,4/2/2014,4/27/2018,1487,6.243443174
2400 W VAN BUREN STREET,13245,3/1/2014,4/27/2018,1519,8.719552337
2416 S BLUE ISLAND AV,1369,3/2/2014,3/5/2015,369,3.7100271
2416 S DAMEN AVENUE,1613,3/1/2014,3/5/2015,370,4.359459459
2416 W 103RD ST,4215,11/30/2014,4/27/2018,1245,3.385542169
2417 W 103RD ST,1818,11/30/2014,4/23/2018,1241,1.464947623
2426 N DAMEN AVE,1839,8/14/2017,4/27/2018,257,7.155642023
2432 N ASHLAND,12033,3/10/2014,4/27/2018,1510,7.968874172
2440 W 51ST ST,2484,4/9/2014,4/27/2018,1480,1.678378378
2443 N ASHLAND,62851,3/10/2014,4/27/2018,1510,41.62317881
2445 W 51ST ST,1291,4/9/2014,4/27/2018,1480,0.872297297
2448 N CLYBOURN AVE,20421,5/11/2014,4/27/2018,1448,14.10290055
2513 W 55TH,26942,3/3/2014,4/27/2018,1517,17.76005274
2549 W ADDISON,55126,3/17/2014,4/27/2018,1503,36.67731204
2550 W 79TH,6988,3/6/2014,4/27/2018,1514,4.615587847
2600 S KEDZIE AVENUE,5774,3/1/2014,4/27/2018,1519,3.80118499
2603 W 79TH,6233,3/3/2014,4/27/2018,1517,4.108767304
2705 W IRVING PARK,141750,3/1/2014,4/27/2018,1519,93.31797235
2712 W IRVING PARK,39464,3/1/2014,4/27/2018,1519,25.98025016
2721 W MONTROSE,3635,3/1/2014,4/27/2018,1519,2.393021725
2800 N ASHLAND AVENUE,3736,3/1/2014,3/5/2015,370,10.0972973
2800 N CALIFORNIA AVE,7237,3/1/2014,4/27/2018,1519,4.764318631
2800 N CENTRAL AVENUE,1279,3/6/2014,4/27/2018,1514,0.844782034
2800 N CICERO AVENUE,4590,3/1/2014,4/27/2018,1519,3.021724819
2800 N DAMEN AVENUE,6479,3/1/2014,4/27/2018,1519,4.265306122
2800 N KIMBALL AVENUE,3967,3/1/2014,4/27/2018,1519,2.61158657
2800 N PULASKI ROAD,3978,3/10/2014,4/27/2018,1510,2.634437086
2800 N WESTERN AVENUE,4094,3/7/2014,4/27/2018,1513,2.705882353
2800 W 31ST,377,3/2/2014,3/5/2015,369,1.021680217
2800 W DEVON AVENUE,3207,3/1/2014,4/27/2018,1519,2.111257406
2800 W DIVERSEY,39303,3/1/2014,4/27/2018,1519,25.87425938
2800 W IRVING PARK ROA,14270,3/1/2014,4/27/2018,1519,9.394338381
2800 W PETERSON AVENUE,5206,3/1/2014,4/27/2018,1519,3.427254773
OGDEN and SACRAMENTO,179533,3/1/2014,4/27/2018,1519,118.1915734
2912 W ROOSEVELT,33582,3/1/2014,4/27/2018,1519,22.10796577
2917 W ROOSEVELT,56256,3/1/2014,4/27/2018,1519,37.03489138
2928 S HALSTED,9777,3/3/2014,4/27/2018,1517,6.444957152
30 W 87TH STREET,26995,3/1/2014,4/27/2018,1519,17.77156024
300 N HAMLIN AVENUE,10841,3/1/2014,4/27/2018,1519,7.136932192
300 S MICHIGAN AVE,608,2/5/2018,4/27/2018,82,7.414634146
3000 W CHICAGO AVENUE,4966,3/1/2014,4/27/2018,1519,3.26925609
3034 W FOSTER,24108,3/1/2014,4/27/2018,1519,15.87096774
3047 W JACKSON BLVD,22616,4/30/2014,4/27/2018,1459,15.5010281
3100 S ARCHER AVENUE,1111,3/1/2014,3/5/2015,370,3.002702703
3100 S ASHLAND AVENUE,1665,3/1/2014,3/5/2015,370,4.5
3100 S CALIFORNIA,978,3/5/2014,3/5/2015,366,2.672131148
3100 S DR MARTIN L KING,14612,3/1/2014,4/27/2018,1519,9.619486504
3100 S KEDZIE AVENUE,5128,5/14/2014,4/27/2018,1445,3.548788927
3100 W AUGUSTA,22229,3/1/2014,4/27/2018,1519,14.63396972
3111 N ASHLAND AVE,2358,11/10/2014,4/27/2018,1265,1.864031621
3115 N NARRAGANSETT AVE,1429,4/23/2014,4/27/2018,1466,0.974761255
3116 N NARRAGANSETT AVE,3627,4/23/2014,4/26/2018,1465,2.475767918
3130 N ASHLAND AVE,8201,11/10/2014,4/27/2018,1265,6.483003953
3137 W PETERSON,66348,3/1/2014,4/27/2018,1519,43.67873601
319 E ILLINOIS ST,2177,5/28/2014,10/15/2016,872,2.496559633
3200 N CENTRAL AVENUE,1641,3/3/2014,4/27/2018,1517,1.081740277
3200 N HARLEM AVE,4511,3/1/2014,4/27/2018,1519,2.969716919
3200 N KEDZIE AVE,18805,4/5/2014,4/27/2018,1484,12.67183288
3200 N KEDZIE AVENUE,1530,4/13/2014,4/26/2018,1475,1.037288136
3200 N LAKESHORE DRIV,10195,3/1/2014,4/27/2018,1519,6.711652403
3200 N PULASKI RD,2929,4/17/2014,4/27/2018,1472,1.989809783
3200 S ARCHER AVE,50365,12/23/2015,4/27/2018,857,58.76896149
3200 W 31ST STREET,3350,3/1/2014,4/27/2018,1519,2.205398288
3200 W 47TH ST,2703,3/1/2014,4/27/2018,1519,1.779460171
3200 W 55TH STREET,2649,3/1/2014,4/27/2018,1519,1.743910467
3200 W 63RD ST,2847,3/1/2014,4/27/2018,1519,1.874259381
3200 W 71ST STREET,3207,3/1/2014,4/27/2018,1519,2.111257406
3200 W 79TH ST,5433,3/1/2014,4/27/2018,1519,3.576695194
3200 W ARMITAGE AVENUE,3078,3/1/2014,4/27/2018,1519,2.026333114
3200 W BELMONT,2925,4/5/2014,4/27/2018,1484,1.971024259
3200 W IRVING PARK ROAD,9642,3/1/2014,5/31/2017,1188,8.116161616
3212 W 55TH ST,691,2/25/2015,4/27/2018,1158,0.59671848
3216 W ADDISON ST,9439,3/1/2014,4/27/2018,1519,6.21395655
3217 W 55TH ST,495,2/23/2015,4/27/2018,1160,0.426724138
3230 N MILWAUKEE AVE,7505,5/22/2014,4/17/2018,1427,5.259285214
324 E ILLINOIS ST,288,10/27/2016,4/27/2018,548,0.525547445
324 S KEDZIE AVE,15660,4/30/2014,4/27/2018,1459,10.73337903
340 W UPPER WACKER DR,1463,3/5/2018,4/27/2018,54,27.09259259
3400 W DIVERSEY AVENUE,2969,3/1/2014,4/27/2018,1519,1.954575379
3400 W NORTH AVE,8721,3/1/2014,4/27/2018,1519,5.741277156
341 W 76th ST,1507,6/13/2014,4/27/2018,1415,1.065017668
3450 W 71ST,22459,3/1/2014,4/27/2018,1519,14.78538512
346 W 76th ST,3133,6/13/2014,4/27/2018,1415,2.214134276
3500 S WESTERN,8209,3/1/2014,4/27/2018,1519,5.404213298
3521 N WESTERN,13850,3/17/2014,4/27/2018,1503,9.214903526
3534 N WESTERN,23294,3/17/2014,4/27/2018,1503,15.49833666
3535 E 95TH ST,3539,8/13/2014,4/26/2018,1353,2.615668884
3542 E 95TH ST,8642,8/13/2014,4/27/2018,1354,6.382570162
3600 N AUSTIN AVENUE,4355,3/2/2014,4/27/2018,1518,2.868906456
3600 N CENTRAL AVENUE,3383,3/1/2014,4/27/2018,1519,2.227123107
3600 N CICERO AVENUE,12434,3/1/2014,4/27/2018,1519,8.185648453
3600 N ELSTON AVE,2539,3/1/2014,4/27/2018,1519,1.671494404
3600 N HARLEM AVENUE,5561,3/1/2014,4/27/2018,1519,3.660961159
3600 N WESTERN AVENUE,8155,3/1/2014,4/27/2018,1519,5.368663594
3646 W MADISON,68560,3/1/2014,4/27/2018,1519,45.13495721
3655 W JACKSON,29036,3/1/2014,4/27/2018,1519,19.11520737
3700 W IRVING PARK ROA,6349,4/11/2014,4/27/2018,1478,4.295669824
3800 W MADISON STREET,12019,3/1/2014,4/27/2018,1519,7.912442396
3809 W BELMONT AVE,5190,5/22/2014,4/27/2018,1437,3.611691023
3810 W BELMONT AVE,1245,5/22/2014,4/26/2018,1436,0.866991643
3832 W 79TH,12652,3/26/2014,4/27/2018,1494,8.46854083
3843 S WESTERN,86879,3/1/2014,4/27/2018,1519,57.19486504
3843 W 111TH,17566,3/3/2014,4/27/2018,1517,11.57943309
3851 W 79th,6686,3/26/2014,4/27/2018,1494,4.47523427
3900 S WESTERN BLVD,4449,3/1/2014,5/30/2017,1187,3.748104465
400 E 31ST STREET,5504,3/1/2014,4/27/2018,1519,3.623436471
400 N CENTRAL AVENUE,6872,3/1/2014,4/27/2018,1519,4.524028966
400 N LASALLE,6836,3/1/2014,4/27/2018,1519,4.500329164
400 S WESTERN AVENUE,44307,3/1/2014,4/27/2018,1519,29.16853193
400 W BELMONT AVE,62130,3/1/2014,4/27/2018,1519,40.90190915
4000 N ASHLAND AVENUE,3349,3/1/2014,4/27/2018,1519,2.204739961
4000 N AUSTIN AVENUE,3796,3/1/2014,4/27/2018,1519,2.499012508
4000 N CENTRAL AVENUE,1969,3/1/2014,4/27/2018,1519,1.296247531
4000 N CLARK STREET,2805,3/1/2014,4/27/2018,1519,1.846609612
4000 N ELSTON AVENUE,1068,4/17/2014,4/27/2018,1472,0.725543478
4000 N PULASKI ROAD,2994,3/2/2014,4/27/2018,1518,1.972332016
4000 W 55TH ST,2608,3/1/2014,4/27/2018,1519,1.716919026
4000 W 63RD ST,3019,3/1/2014,4/27/2018,1519,1.987491771
4000 W 79TH STREET,4276,3/1/2014,4/27/2018,1519,2.815009875
4000 W ARMITAGE AVENUE,6844,3/1/2014,4/27/2018,1519,4.505595787
4000 W BELMONT AVE,1793,4/16/2014,4/27/2018,1473,1.21724372
4000 W CERMAK,6950,3/1/2014,4/27/2018,1519,4.575378539
4000 W CHICAGO AVENUE,4928,3/1/2014,4/27/2018,1519,3.244239631
4000 W DIVERSEY AVENUE,2289,4/4/2014,4/27/2018,1485,1.541414141
4000 W FOSTER AVE,6247,3/1/2014,4/27/2018,1519,4.112574062
4000 W FULLERTON AVE,5366,3/1/2014,4/27/2018,1519,3.532587228
4000 W IRVING PARK RD,9515,3/6/2014,4/27/2018,1514,6.284676354
4000 W LAWRENCE AVENUE,2099,3/18/2014,4/27/2018,1502,1.39747004
4000 W MONTROSE AVENUE,344,3/1/2014,3/5/2015,370,0.92972973
4000 W NORTH AVENUE,3249,3/1/2014,4/27/2018,1519,2.138907176
4000 W PETERSON AVENUE,8483,3/1/2014,5/31/2017,1188,7.140572391
4000 W ROOSEVELT ROAD,6948,3/1/2014,4/27/2018,1519,4.574061883
4040 W 55TH,7326,3/24/2014,4/27/2018,1496,4.897058824
4040 W CHICAGO AVE,34351,5/7/2014,4/27/2018,1452,23.6577135
4041 W CHICAGO AVE,20169,5/7/2014,4/27/2018,1452,13.89049587
4042 W NORTH AVE,9621,12/23/2015,4/27/2018,857,11.22637106
4042 W ROOSEVELT RD,18814,10/23/2014,4/27/2018,1283,14.66406859
4045 W 55TH,1509,3/24/2014,4/27/2018,1496,1.00868984
4053 W NORTH AVE,11523,12/23/2015,4/27/2018,857,13.44574096
4123 N CENTRAL AVE,17936,5/14/2014,4/27/2018,1445,12.41245675
4124 W FOSTER AVE,168651,3/1/2014,4/27/2018,1519,111.0276498
4200 S CICERO AVENUE,75061,3/1/2014,4/27/2018,1519,49.41474654
4400 N MILWAUKEE AVEN,2574,3/2/2014,4/27/2018,1518,1.695652174
4400 N PULASKI ROAD,369,3/8/2014,3/4/2015,362,1.019337017
4400 N WESTERN AVENUE,8829,3/15/2014,4/27/2018,1505,5.866445183
4400 W GRAND AVE,6508,3/17/2014,4/27/2018,1503,4.330006653
4400 W NORTH,8104,4/5/2014,4/28/2018,1485,5.457239057
4400 W OGDEN AVENUE,12086,3/1/2014,4/27/2018,1519,7.956550362
4400 W ROOSEVELT,6898,3/1/2014,4/27/2018,1519,4.54114549
4429 N BROADWAY,2974,3/1/2014,4/27/2018,1519,1.957867018
4432 N LINCOLN,2313,3/2/2014,4/26/2018,1517,1.524719842
4433 N WESTERN,27576,3/1/2014,4/27/2018,1519,18.15404872
4436 N WESTERN,21462,3/1/2014,4/27/2018,1519,14.12903226
4440 W LAWRENCE AVENUE,8097,3/1/2014,4/27/2018,1519,5.330480579
4446 N BROADWAY,2286,3/1/2014,4/27/2018,1519,1.504937459
445 W 127TH,207130,3/1/2014,4/27/2018,1519,136.359447
449 N COLUMBUS DR,10739,7/1/2014,4/27/2018,1397,7.687186829
450 N COLUMBUS DR,25413,7/1/2014,4/27/2018,1397,18.19112384
4620 W BELMONT AVE,6432,4/23/2014,4/26/2018,1465,4.390443686
4674 W PETERSON AVE,10633,4/30/2014,4/27/2018,1459,7.287868403
4700 S ASHLAND AVENUE,1192,3/1/2014,3/5/2015,370,3.221621622
4700 S CICERO AVE,1941,3/1/2014,4/27/2018,1519,1.277814352
4700 S KEDZIE AVE,4242,3/1/2014,4/26/2018,1518,2.794466403
4700 S WESTERN AVENUE,10841,3/1/2014,4/27/2018,1519,7.136932192
4700 W IRVING PARK ROA,10908,3/1/2014,4/27/2018,1519,7.181040158
4707 W PETERSON AVE,26283,4/30/2014,4/27/2018,1459,18.01439342
4800 N ASHLAND AVENUE,6527,3/1/2014,4/27/2018,1519,4.296905859
4800 N CICERO AVE,15945,3/1/2014,4/27/2018,1519,10.49703752
4800 N ELSTON AVENUE,2906,3/1/2014,4/27/2018,1519,1.913100724
4800 N PULASKI ROAD,1288,3/2/2014,4/14/2018,1505,0.855813953
4800 N WESTERN AVENUE,3918,3/1/2014,4/27/2018,1519,2.579328506
4800 W 47TH ST,11821,3/1/2014,4/27/2018,1519,7.782093483
4800 W ARMITAGE AVENUE,994,3/1/2014,4/27/2018,1519,0.65437788
4800 W CHICAGO AVENUE,4018,3/6/2014,4/27/2018,1514,2.653896962
4800 W DIVERSEY AVENUE,2012,3/1/2014,4/26/2018,1518,1.325428195
4800 W FULLERTON AVE,3469,3/7/2014,4/27/2018,1513,2.29279577
4800 W HARRISON STREET,2888,3/1/2014,4/27/2018,1519,1.901250823
4800 W NORTH AVENUE,9580,3/1/2014,4/27/2018,1519,6.306780777
4800 W PETERSON AVENUE,1541,3/2/2014,4/24/2018,1515,1.017161716
4831 W LAWRENCE AVE,81054,11/24/2014,4/27/2018,1251,64.79136691
4843 W FULLERTON,41338,3/3/2014,4/27/2018,1517,27.2498352
4909 N CICERO AVE,255172,11/1/2014,4/27/2018,1274,200.2919937
4929 S PULASKI,21363,3/17/2014,4/27/2018,1503,14.21357285
4932 W FOSTER AVENUE,730,4/11/2014,3/5/2015,329,2.218844985
4965 S ARCHER,21364,3/17/2014,4/27/2018,1503,14.21423819
500 N COLUMBUS DRIVE,28727,3/1/2014,4/27/2018,1519,18.91178407
500 W ROOSEVELT ROAD,11346,3/1/2014,4/27/2018,1519,7.469387755
5000 S ARCHER AVE,7190,3/1/2014,4/27/2018,1519,4.733377222
5006 S WESTERN BLVD,1251,2/21/2018,4/27/2018,66,18.95454545
5025 S WESTERN AVE,32274,4/10/2014,4/27/2018,1479,21.82150101
5030 S PULASKI,48407,3/17/2014,4/27/2018,1503,32.20691949
506 S CENTRAL AVE,6718,5/28/2014,4/27/2018,1431,4.694619147
5075 W MONTROSE AVENUE,4923,3/2/2014,4/27/2018,1518,3.243083004
5100 S WESTERN BLVD,801,3/1/2014,3/5/2015,370,2.164864865
5120 N PULASKI,53836,3/1/2014,4/27/2018,1519,35.44173799
515 S CENTRAL AVE,7992,5/29/2014,4/27/2018,1430,5.588811189
5200 N BROADWAY ST,4489,3/1/2014,4/27/2018,1519,2.955233706
5200 N ELSTON AVENUE,279,3/4/2014,3/2/2015,364,0.766483516
5200 N NAGLE,7521,3/1/2014,4/27/2018,1519,4.951283739
5200 N NORTHWEST HWY,361,11/1/2017,4/27/2018,178,2.028089888
5200 N PULASKI RD,3961,3/1/2014,4/27/2018,1519,2.607636603
5200 N SHERIDAN ROAD,2094,3/1/2014,4/27/2018,1519,1.378538512
5200 N WESTERN AVE,4127,3/29/2014,4/27/2018,1491,2.767940979
5200 S CICERO AVE,29481,4/10/2014,4/27/2018,1479,19.93306288
5200 W FULLERTON AVENUE,5391,3/1/2014,4/27/2018,1519,3.549045425
5200 W IRVING PARK ROA,7428,3/1/2014,4/27/2018,1519,4.89005925
5200 W MADISON STREET,25318,3/1/2014,4/27/2018,1519,16.66754444
5232 N CENTRAL AVE,325,11/1/2017,4/27/2018,178,1.825842697
5232 N MILWAUKEE AVE,1173,11/1/2017,4/27/2018,178,6.58988764
5330 S COTTAGE GROVE,67399,3/1/2014,4/27/2018,1519,44.37063858
536 E MORGAN DR,124862,3/1/2014,4/27/2018,1519,82.20013167
5400 S ARCHER AVE,9167,4/10/2014,4/27/2018,1479,6.198106829
5420 S RACINE AVE,13083,4/23/2014,4/27/2018,1466,8.924283765
5428 S PULASKI,5999,3/24/2014,4/27/2018,1496,4.010026738
5432 W LAWRENCE,7381,3/30/2014,4/27/2018,1490,4.953691275
5433 S PULASKI,9828,3/24/2014,4/27/2018,1496,6.569518717
5440 W GRAND,15547,3/3/2014,4/27/2018,1517,10.24851681
5446 W FULLERTON,20401,3/3/2014,4/27/2018,1517,13.44825313
5454 W IRVING PARK,56017,3/1/2014,4/25/2018,1517,36.92617007
5471 W HIGGINS,47206,3/30/2014,4/27/2018,1490,31.68187919
5500 S ASHLAND AVENUE,904,3/2/2014,3/5/2015,369,2.449864499
5500 S KEDZIE AVENUE,2111,3/2/2014,4/27/2018,1518,1.390645586
5500 S PULASKI,3714,3/1/2014,4/27/2018,1519,2.445029625
5500 S WENTWORTH AVEN,25217,3/1/2014,4/27/2018,1519,16.60105332
5500 S WESTERN AVE,8820,3/3/2014,4/27/2018,1517,5.81410679
5509 W FULLERTON,21225,3/3/2014,4/27/2018,1517,13.99143045
5520 S WESTERN,31737,3/1/2014,4/27/2018,1519,20.89335089
5529 S WESTERN,17828,3/1/2014,4/27/2018,1519,11.73666886
5532 S KEDZIE AVE,3581,2/23/2015,4/27/2018,1160,3.087068966
5600 W ADDISON STREET,2469,3/1/2014,4/27/2018,1519,1.625411455
5600 W BELMONT AVENUE,1876,3/1/2014,4/27/2018,1519,1.235023041
5600 W CHICAGO AVENUE,3369,3/1/2014,4/26/2018,1518,2.219367589
5600 W DIVERSEY AVENUE,1526,3/1/2014,4/27/2018,1519,1.004608295
5600 W FULLERTON AVENU,2573,3/1/2014,4/27/2018,1519,1.693877551
5600 W IRVING PARK ROAD,4200,3/2/2014,4/27/2018,1518,2.766798419
5600 W LAKE STREET,4889,3/1/2014,4/27/2018,1519,3.218564845
5600 W MADISON STREET,1035,3/10/2014,3/4/2015,360,2.875
5616 W FOSTER AVE,765,11/1/2017,4/27/2018,178,4.297752809
