Issue Date,State
2018-02-01,984
2018-02-02,1075
2018-02-03,1298
2018-02-04,931
2018-02-05,1085
2018-02-06,940
2018-02-07,767
2018-02-08,1192
2018-02-09,1054
2018-02-10,1115
2018-02-11,882
2018-02-12,1061
2018-02-13,1269
2018-02-14,1184
2018-02-15,1023
2018-02-16,1104
2018-02-17,1167
2018-02-18,1131
2018-02-19,835
2018-02-20,1026
2018-02-21,1129
2018-02-22,864
2018-02-23,983
2018-02-24,1130
2018-02-25,1033
2018-02-26,1011
2018-02-27,1328
2018-02-28,1268
2018-03-01,1065
2018-03-02,770
2018-03-03,1405
2018-03-04,1325
2018-03-05,1188
2018-03-06,1381
2018-03-07,388
2018-03-08,1067
2018-03-09,1256
2018-03-10,1349
2018-03-11,1525
2018-03-12,1145
2018-03-13,829
2018-03-14,1178
2018-03-15,1309
2018-03-16,1415
2018-03-17,1487
2018-03-18,1664
2018-03-19,1120
2018-03-20,1036
2018-03-21,302
2018-03-22,905
2018-03-23,1270
2018-03-24,1554
2018-03-25,1296
2018-03-26,1332
2018-03-27,1193
2018-03-28,1135
2018-03-29,1054
2018-03-30,1203
2018-03-31,1685
2018-04-01,1303
2018-04-02,906
2018-04-03,925
2018-04-04,1018
2018-04-05,1256
2018-04-06,1051
2018-04-07,1274
2018-04-08,1373
2018-04-09,1143
2018-04-10,1020
2018-04-11,1282
2018-04-12,1276
2018-04-13,1423
2018-04-14,1761
2018-04-15,1050
2018-04-16,970
2018-04-17,1189
2018-04-18,1287
2018-04-19,1205
2018-04-20,1564
2018-04-21,1755
2018-04-22,1705
2018-04-23,1392
2018-04-24,1281
2018-04-25,898
2018-04-26,1547
2018-04-27,1180
2018-04-28,1626
2018-04-29,1304
2018-04-30,1109
2018-05-01,1454
2018-05-02,1437
2018-05-03,1535
2018-05-04,1481
2018-05-05,1608
2018-05-06,1284
2018-05-07,1282
2018-05-08,1334
2018-05-09,1426
2018-05-10,1380
2018-05-11,1715
2018-05-12,1469
2018-05-13,1444
2018-05-14,1300
2018-05-15,1243
2018-05-16,1146
2018-05-17,1254
2018-05-18,1350
2018-05-19,1314
2018-05-20,1462
2018-05-21,1491
2018-05-22,1239
2018-05-23,1531
2018-05-24,1752
2018-05-25,1884
2018-05-26,1632
2018-05-27,1046
2018-05-28,1124
2018-05-29,1429
